address,name,category,status,file,notes
0x8001d984,DAT_8001d984,game,TODO,,
0x8001d9a4,DAT_8001d9a4,game,TODO,,
0x8001d9c4,DAT_8001d9c4,game,TODO,,
0x8001d9e4,DAT_8001d9e4,game,TODO,,
0x8001da04,DAT_8001da04,game,TODO,,
0x8001da24,DAT_8001da24,game,TODO,,
0x8001da44,DAT_8001da44,game,TODO,,
0x8001da64,DAT_8001da64,game,TODO,,
0x8001da84,DAT_8001da84,game,TODO,,
0x8001daa4,DAT_8001daa4,game,TODO,,
0x8001dac4,DAT_8001dac4,game,TODO,,
0x8001dae4,DAT_8001dae4,game,TODO,,
0x8001db04,DAT_8001db04,game,TODO,,
0x8001db24,DAT_8001db24,game,TODO,,
0x8001db44,DAT_8001db44,game,TODO,,
0x8001db64,DAT_8001db64,game,TODO,,
0x8001db84,DAT_8001db84,game,TODO,,
0x8001dba4,DAT_8001dba4,game,TODO,,
0x8001dbc4,DAT_8001dbc4,game,TODO,,
0x8001dbe4,DAT_8001dbe4,game,TODO,,
0x8001dc04,DAT_8001dc04,game,TODO,,
0x8001dc24,DAT_8001dc24,game,TODO,,
0x8001dc44,DAT_8001dc44,game,TODO,,
0x8001dc64,DAT_8001dc64,game,TODO,,
0x8001dc84,DAT_8001dc84,game,TODO,,
0x8001dca4,DAT_8001dca4,game,TODO,,
0x8001dcc4,DAT_8001dcc4,game,TODO,,
0x8001dce4,DAT_8001dce4,game,TODO,,
0x8001dd04,DAT_8001dd04,game,TODO,,
0x8001dd24,DAT_8001dd24,game,TODO,,
0x8001dd44,DAT_8001dd44,game,TODO,,
0x8001dd64,DAT_8001dd64,game,TODO,,
0x8001dd84,DAT_8001dd84,game,TODO,,
0x8001dda4,DAT_8001dda4,game,TODO,,
0x8001ddc4,DAT_8001ddc4,game,TODO,,
0x8001dde4,DAT_8001dde4,game,TODO,,
0x8001de04,DAT_8001de04,game,TODO,,
0x8001de24,DAT_8001de24,game,TODO,,
0x8001de44,DAT_8001de44,game,TODO,,
0x8001de64,DAT_8001de64,game,TODO,,
0x8001de84,DAT_8001de84,game,TODO,,
0x8001dea4,DAT_8001dea4,game,TODO,,
0x8001dec4,DAT_8001dec4,game,TODO,,
0x8001dee4,DAT_8001dee4,game,TODO,,
0x8001df04,DAT_8001df04,game,TODO,,
0x8001df24,DAT_8001df24,game,TODO,,
0x8001df44,DAT_8001df44,game,TODO,,
0x8001df64,DAT_8001df64,game,TODO,,
0x8001df84,DAT_8001df84,game,TODO,,
0x8001dfa4,DAT_8001dfa4,game,TODO,,
0x8001dfc4,DAT_8001dfc4,game,TODO,,
0x8001dfe4,DAT_8001dfe4,game,TODO,,
0x8001e004,DAT_8001e004,game,TODO,,
0x8001e024,DAT_8001e024,game,TODO,,
0x8001e044,DAT_8001e044,game,TODO,,
0x8001e064,DAT_8001e064,game,TODO,,
0x8001e088,DAT_8001e088,game,TODO,,
0x8001e0ac,DAT_8001e0ac,game,TODO,,
0x8001e0cc,DAT_8001e0cc,game,TODO,,
0x8001e0ec,DAT_8001e0ec,game,TODO,,
0x8001e10c,DAT_8001e10c,game,TODO,,
0x8001e12c,DAT_8001e12c,game,TODO,,
0x8001e150,DAT_8001e150,game,TODO,,
0x8001e174,DAT_8001e174,game,TODO,,
0x8001e194,DAT_8001e194,game,TODO,,
0x8001e1b4,DAT_8001e1b4,game,TODO,,
0x8001e1d4,DAT_8001e1d4,game,TODO,,
0x8001e1f4,DAT_8001e1f4,game,TODO,,
0x8001e218,DAT_8001e218,game,TODO,,
0x8001e23c,DAT_8001e23c,game,TODO,,
0x8001e260,DAT_8001e260,game,TODO,,
0x8001e284,DAT_8001e284,game,TODO,,
0x8001e2a8,DAT_8001e2a8,game,TODO,,
0x8001e2cc,DAT_8001e2cc,game,TODO,,
0x8001e2f0,DAT_8001e2f0,game,TODO,,
0x8001e314,DAT_8001e314,game,TODO,,
0x8001e338,DAT_8001e338,game,TODO,,
0x8001e35c,DAT_8001e35c,game,TODO,,
0x8001e380,DAT_8001e380,game,TODO,,
0x8001e3a4,DAT_8001e3a4,game,TODO,,
0x8001e3c8,DAT_8001e3c8,game,TODO,,
0x8001e3ec,DAT_8001e3ec,game,TODO,,
0x8001e410,DAT_8001e410,game,TODO,,
0x8001e434,DAT_8001e434,game,TODO,,
0x8001e458,DAT_8001e458,game,TODO,,
0x8001e47c,DAT_8001e47c,game,TODO,,
0x8001e4a0,DAT_8001e4a0,game,TODO,,
0x8001e4c4,DAT_8001e4c4,game,TODO,,
0x8001e4e8,DAT_8001e4e8,game,TODO,,
0x8001e50c,DAT_8001e50c,game,TODO,,
0x8001e530,DAT_8001e530,game,TODO,,
0x8001e554,DAT_8001e554,game,TODO,,
0x8001e578,DAT_8001e578,game,TODO,,
0x8001e59c,DAT_8001e59c,game,TODO,,
0x8001e5c0,DAT_8001e5c0,game,TODO,,
0x8001e5e4,DAT_8001e5e4,game,TODO,,
0x8001e608,DAT_8001e608,game,TODO,,
0x8001e62c,DAT_8001e62c,game,TODO,,
0x8001e650,DAT_8001e650,game,TODO,,
0x8001e674,DAT_8001e674,game,TODO,,
0x8001e698,DAT_8001e698,game,TODO,,
0x8001e6bc,DAT_8001e6bc,game,TODO,,
0x8001e6e0,DAT_8001e6e0,game,TODO,,
0x8001e704,DAT_8001e704,game,TODO,,
0x8001e728,DAT_8001e728,game,TODO,,
0x8001e74c,DAT_8001e74c,game,TODO,,
0x8001e770,DAT_8001e770,game,TODO,,
0x8001e794,DAT_8001e794,game,TODO,,
0x8001e7b8,DAT_8001e7b8,game,TODO,,
0x8001e7dc,DAT_8001e7dc,game,TODO,,
0x8001e800,DAT_8001e800,game,TODO,,
0x8001e824,DAT_8001e824,game,TODO,,
0x8001e848,DAT_8001e848,game,TODO,,
0x8001e86c,DAT_8001e86c,game,TODO,,
0x8001e890,DAT_8001e890,game,TODO,,
0x8001e8b4,DAT_8001e8b4,game,TODO,,
0x8001e8d8,DAT_8001e8d8,game,TODO,,
0x8001e8fc,DAT_8001e8fc,game,TODO,,
0x8001e920,DAT_8001e920,game,TODO,,
0x8001e944,DAT_8001e944,game,TODO,,
0x8001e968,DAT_8001e968,game,TODO,,
0x8001e98c,DAT_8001e98c,game,TODO,,
0x8001e9b0,DAT_8001e9b0,game,TODO,,
0x8001e9d4,DAT_8001e9d4,game,TODO,,
0x8001e9f8,DAT_8001e9f8,game,TODO,,
0x8001ea1c,DAT_8001ea1c,game,TODO,,
0x8001ea40,DAT_8001ea40,game,TODO,,
0x8001ea64,DAT_8001ea64,game,TODO,,
